Day,fee_Wei,Price_Eth,Eth_Tx_fee_USD,fee_tinybar,Price_hbar,Hedera_Tx_fee_USD,Eth_Tx_fee_USD_Age
13.09.19,8.71E+20,181.56,158164.507,1881346044,0.090177,1.696541422,0
14.09.19,9.56E+20,188.9,180543.9306,55192841484,0.090177,49.77124867,0
15.09.19,9.70E+20,189.48,183756.7363,86298588278,0.090177,77.82147795,0
16.09.19,1.01E+21,197.85,199711.959,38201959639,0.090177,34.44938114,0
17.09.19,1.22E+21,207.9,254287.6337,55253308303,0.090177,49.82577583,0
18.09.19,1.30E+21,210.5,272638.0092,39774454830,0.086921,34.57235388,0
19.09.19,1.46E+21,221.01,322779.5901,41583831069,0.057924,24.08701831,0
20.09.19,1.47E+21,218.26,320409.0917,88380521504,0.05249,46.39093574,0
21.09.19,1.15E+21,215.1,248218.1389,1.42E+11,0.048021,68.29185472,103.3720054
22.09.19,8.95E+20,211.23,189089.243,1.37E+11,0.039735,54.42883372,55.16097576
23.09.19,1.31E+21,200.97,264230.1747,1.15E+11,0.037645,43.38904233,10.43322278
24.09.19,1.54E+21,166.47,256643.8467,99124590046,0.029641,29.38151974,21.19229822
25.09.19,1.63E+21,170.22,277081.2985,1.05E+11,0.030202,31.82202884,11.9901355
26.09.19,1.22E+21,166.06,202492.4865,1.44E+11,0.028966,41.68867663,40.73374051
27.09.19,1.24E+21,174.39,216172.1217,1.70E+11,0.036991,62.73826125,44.37392102
28.09.19,1.21E+21,174.14,211509.9086,1.71E+11,0.039928,68.46977289,25.8387014
29.09.19,1.13E+21,169.68,192058.3937,1.63E+11,0.035776,58.22352593,15.81750152
30.09.19,1.01E+21,181.47,184145.1388,1.66E+11,0.038021,63.19828557,9.147815957
01.10.19,5.11E+20,176.39,90050.4957,2.10E+11,0.038491,80.82674406,9.171374208
02.10.19,4.85E+20,181.06,87833.25274,2.13E+11,0.037578,79.88086597,15.1207106
03.10.19,6.44E+20,175.17,112859.978,2.36E+11,0.037682,89.09446898,19.44299784
04.10.19,4.95E+20,176.21,87260.36789,1.95E+11,0.038763,75.41107942,10.14623908
05.10.19,4.27E+20,176.9,75613.52207,1.62E+11,0.041894,67.99937132,11.31126008
06.10.19,3.91E+20,170.26,66505.46131,1.72E+11,0.03841,66.24288017,59.14056884
07.10.19,4.39E+20,180.49,79155.81398,2.09E+11,0.038178,79.63658946,10.86718636
08.10.19,4.67E+20,181.09,84532.11116,2.00E+11,0.038802,77.48063076,11.00659392
09.10.19,5.70E+20,193.43,110192.2535,2.36E+11,0.039021,91.95859833,9.663914315
10.10.19,4.99E+20,191.73,95642.21807,2.44E+11,0.03834,93.59754473,8.639365963
11.10.19,4.70E+20,180.94,85026.67003,2.93E+11,0.036064,105.6154026,9.798188238
12.10.19,3.92E+20,180.09,70506.06041,1.36E+11,0.034988,47.409095,12.90269288
13.10.19,3.76E+20,181.37,68262.64135,1.15E+11,0.033109,38.03740104,6.498792801
14.10.19,4.45E+20,186.96,83140.33631,1.16E+11,0.037348,43.23754475,7.43710934
15.10.19,4.67E+20,180.74,84388.36417,1.28E+11,0.037829,48.32216275,10.02312065
16.10.19,4.55E+20,174.76,79594.36612,1.23E+11,0.037631,46.44300145,10.58908931
17.10.19,4.32E+20,177.5,76593.29052,1.11E+11,0.035072,38.94229802,10.51831858
18.10.19,4.63E+20,173.29,80184.19121,73912578114,0.033873,25.03640758,8.782232349
19.10.19,4.13E+20,172.37,71253.6189,61003619931,0.033564,20.47525499,12.36199758
