"Date(UTC)","UnixTimeStamp","Value"
"5/31/2020","1590883200","0"
"6/1/2020","1590969600","0"
"6/2/2020","1591056000","0"
"6/3/2020","1591142400","0"
"6/4/2020","1591228800","0"
"6/5/2020","1591315200","0"
"6/6/2020","1591401600","0"
"6/7/2020","1591488000","0"
"6/8/2020","1591574400","0"
"6/9/2020","1591660800","0"
"6/10/2020","1591747200","0"
"6/11/2020","1591833600","0"
"6/12/2020","1591920000","8"
"6/13/2020","1592006400","0"
"6/14/2020","1592092800","0"
"6/15/2020","1592179200","4"
"6/16/2020","1592265600","1"
"6/17/2020","1592352000","0"
"6/18/2020","1592438400","17"
"6/19/2020","1592524800","17"
"6/20/2020","1592611200","61"
"6/21/2020","1592697600","15"
"6/22/2020","1592784000","0"
"6/23/2020","1592870400","8"
"6/24/2020","1592956800","1"
"6/25/2020","1593043200","0"
"6/26/2020","1593129600","0"
"6/27/2020","1593216000","1"
"6/28/2020","1593302400","1"
"6/29/2020","1593388800","9"
"6/30/2020","1593475200","18"
"7/1/2020","1593561600","1"
"7/2/2020","1593648000","3"
"7/3/2020","1593734400","24"
"7/4/2020","1593820800","5"
"7/5/2020","1593907200","3"
"7/6/2020","1593993600","8"
"7/7/2020","1594080000","21"
"7/8/2020","1594166400","7"
"7/9/2020","1594252800","13"
"7/10/2020","1594339200","2"
"7/11/2020","1594425600","59"
"7/12/2020","1594512000","12"
"7/13/2020","1594598400","7"
"7/14/2020","1594684800","6"
"7/15/2020","1594771200","10"
"7/16/2020","1594857600","29"
"7/17/2020","1594944000","22"
"7/18/2020","1595030400","4"
"7/19/2020","1595116800","1583"
"7/20/2020","1595203200","1356"
"7/21/2020","1595289600","738"
"7/22/2020","1595376000","490"
"7/23/2020","1595462400","831"
"7/24/2020","1595548800","6617"
"7/25/2020","1595635200","388"
"7/26/2020","1595721600","553"
"7/27/2020","1595808000","582"
"7/28/2020","1595894400","366"
"7/29/2020","1595980800","266"
"7/30/2020","1596067200","511"
"7/31/2020","1596153600","425"
"8/1/2020","1596240000","476"
"8/2/2020","1596326400","320"
"8/3/2020","1596412800","1258"
"8/4/2020","1596499200","946"
"8/5/2020","1596585600","1524"
"8/6/2020","1596672000","926"
"8/7/2020","1596758400","973"
"8/8/2020","1596844800","995"
"8/9/2020","1596931200","998"
"8/10/2020","1597017600","1133"
"8/11/2020","1597104000","1259"
"8/12/2020","1597190400","1178"
"8/13/2020","1597276800","4756"
"8/14/2020","1597363200","1433"
"8/15/2020","1597449600","1594"
"8/16/2020","1597536000","1804"
"8/17/2020","1597622400","5704"
"8/18/2020","1597708800","2989"
"8/19/2020","1597795200","2496"
"8/20/2020","1597881600","1547"
"8/21/2020","1597968000","2220"
"8/22/2020","1598054400","915"
"8/23/2020","1598140800","1368"
"8/24/2020","1598227200","1346"
"8/25/2020","1598313600","1519"
"8/26/2020","1598400000","1751"
"8/27/2020","1598486400","1603"
"8/28/2020","1598572800","1974"
"8/29/2020","1598659200","1574"
"8/30/2020","1598745600","2186"
"8/31/2020","1598832000","2080"
"9/1/2020","1598918400","2154"
"9/2/2020","1599004800","4720"
"9/3/2020","1599091200","3454"
"9/4/2020","1599177600","2717"
"9/5/2020","1599264000","2916"
"9/6/2020","1599350400","2201"
"9/7/2020","1599436800","2178"
"9/8/2020","1599523200","5759"
"9/9/2020","1599609600","2780"
"9/10/2020","1599696000","11690"
"9/11/2020","1599782400","3604"
"9/12/2020","1599868800","4781"
"9/13/2020","1599955200","7473"
"9/14/2020","1600041600","7011"
"9/15/2020","1600128000","7315"
"9/16/2020","1600214400","6945"
"9/17/2020","1600300800","5050"
"9/18/2020","1600387200","3313"
"9/19/2020","1600473600","9235"
"9/20/2020","1600560000","4055"
"9/21/2020","1600646400","5698"
"9/22/2020","1600732800","4274"
"9/23/2020","1600819200","5624"
"9/24/2020","1600905600","12228"
"9/25/2020","1600992000","128035"
"9/26/2020","1601078400","14282"
"9/27/2020","1601164800","16920"
"9/28/2020","1601251200","22760"
"9/29/2020","1601337600","17161"
"9/30/2020","1601424000","21239"
"10/1/2020","1601510400","27627"
"10/2/2020","1601596800","26458"
"10/3/2020","1601683200","17194"
"10/4/2020","1601769600","18123"
"10/5/2020","1601856000","19953"
"10/6/2020","1601942400","17784"
"10/7/2020","1602028800","18200"
"10/8/2020","1602115200","20241"
"10/9/2020","1602201600","19571"
"10/10/2020","1602288000","19968"
"10/11/2020","1602374400","19135"
"10/12/2020","1602460800","19861"
"10/13/2020","1602547200","21356"
"10/14/2020","1602633600","18735"
"10/15/2020","1602720000","17747"
"10/16/2020","1602806400","19051"
"10/17/2020","1602892800","19574"
"10/18/2020","1602979200","17359"
"10/19/2020","1603065600","14277"
"10/20/2020","1603152000","12260"
"10/21/2020","1603238400","12946"
"10/22/2020","1603324800","14744"
"10/23/2020","1603411200","14577"
"10/24/2020","1603497600","11907"
"10/25/2020","1603584000","12313"
"10/26/2020","1603670400","10380"
"10/27/2020","1603756800","9484"
"10/28/2020","1603843200","12525"
"10/29/2020","1603929600","12071"
"10/30/2020","1604016000","13293"
"10/31/2020","1604102400","11833"
"11/1/2020","1604188800","19981"
"11/2/2020","1604275200","11642"
"11/3/2020","1604361600","14803"
"11/4/2020","1604448000","25399"
"11/5/2020","1604534400","40425"
"11/6/2020","1604620800","44573"
"11/7/2020","1604707200","16813"
"11/8/2020","1604793600","14963"
"11/9/2020","1604880000","22799"
"11/10/2020","1604966400","27487"
"11/11/2020","1605052800","18961"
"11/12/2020","1605139200","22861"
"11/13/2020","1605225600","22766"
"11/14/2020","1605312000","21148"
"11/15/2020","1605398400","20858"
"11/16/2020","1605484800","18380"
"11/17/2020","1605571200","12815"
"11/18/2020","1605657600","15900"
"11/19/2020","1605744000","15577"
"11/20/2020","1605830400","15066"
"11/21/2020","1605916800","16246"
"11/22/2020","1606003200","17813"
"11/23/2020","1606089600","17569"
"11/24/2020","1606176000","19133"
"11/25/2020","1606262400","23927"
"11/26/2020","1606348800","30107"
"11/27/2020","1606435200","23365"
"11/28/2020","1606521600","20464"
"11/29/2020","1606608000","18486"
"11/30/2020","1606694400","30849"
"12/1/2020","1606780800","48855"
"12/2/2020","1606867200","130768"
"12/3/2020","1606953600","107748"
"12/4/2020","1607040000","124324"
"12/5/2020","1607126400","107135"
"12/6/2020","1607212800","113373"
"12/7/2020","1607299200","111578"
"12/8/2020","1607385600","114259"
"12/9/2020","1607472000","136772"
"12/10/2020","1607558400","108671"
"12/11/2020","1607644800","129571"
"12/12/2020","1607731200","128568"
"12/13/2020","1607817600","127190"
"12/14/2020","1607904000","123958"
"12/15/2020","1607990400","136607"
"12/16/2020","1608076800","129847"
